	A1	A2	A3	A4	A5	A6	A7
SH3BP1	-0.0412561231616513	0	0	0	0	0	0
SMG5	-0.0579564676057796	0	0	0	0	0	0
SNORA21	0.20904288855508	0	0	0	0	0	0
SNORA71B	0.0199930669781898	0	0	0	0	0	0
SNORD104	0.149550200872319	0	0	0	0	0	0
SRSF6	-0.00791454994566257	0	0	0	0	0	0
TAP2	-0.00523924673559716	0	0	0	0	0	0
TGOLN2	-0.418923438523517	0	0	0	0	0	0
VAV1	-0.00107435416312208	0	0	0	0	0	0
ARHGEF7	0	0.0523638397186217	0	0	0	0	0
BPNT1	0	0.152403831691786	0	0	0	0	0
BRIP1	0	0.0275889491110039	0	0	0	0	0
CBX5	0	0.029385363292878	0	0	0	0	0
CUX1	0	0.0371196191897784	0	0	0	0	0
DNAJC10	0	0.0440357768996774	0	0	0	0	0
DNMT1	0	0.0327601398854215	0	0	0	0	0
E2F1	0	0.031112162403482	0	0	0	0	0
GNA13	0	0.00102181082737227	0	0	0	0	0
GRIP1	0	0.0270207010169032	0	0	0	0	0
KIF4A	0	0.0731094394916955	0	0	0	0	0
LMO4	0	0.00254193201085128	0	0	0	0	0
MAP4K2	0	0.0153618206887348	0	0	0	0	0
MSH6	0	0.193842249945423	0	0	0	0	0
NCAPG2	0	0.0130018693507162	0	0	0	0	0
PDE9A	0	0.0323102399805267	0	0	0	0	0
PFKL	0	0.219258993569493	0	0	0	0	0
PLEKHF2	0	0.290243588276785	0	0	0	0	0
POLA1	0	0.036774030345416	0	0	0	0	0
POM121	0	0.178556607992505	0	0	0	0	0
RANBP2	0	0.0637844812353882	0	0	0	0	0
S100Z	0	0.101722343029615	0	0	0	0	0
S1PR2	0	0.169024633215521	0	0	0	0	0
SCARB1	0	0.00147605778818602	0	0	0	0	0
SFPQ	0	0.0359548475166058	0	0	0	0	0
SLC35D1	0	0.0553261489315273	0	0	0	0	0
SMARCA4	0	0.0482850545722035	0	0	0	0	0
SNTA1	0	0.00234823206923936	0	0	0	0	0
SOBP	0	0.00939192823762941	0	0	0	0	0
SOGA1	0	0.0946823363446177	0	0	0	0	0
STAG3	0	0.101528568587176	0	0	0	0	0
SYPL1	0	0.0100511736923123	0	0	0	0	0
TP53INP1	0	0.0268280167035365	0	0	0	0	0
WEE1	0	0.0296777913427151	0	0	0	0	0
ZFAND4	0	0.0669412606384354	0	0	0	0	0
ZNF318	0	0.0910287418518448	0	0	0	0	0
ZNF367	0	0.0298023546297499	0	0	0	0	0
AGRP	0	0	0.00878397690791152	0	0	0	0
AKAP13	0	0	0.0318523570638613	0	0	0	0
AMT	0	0	0.0349946928857124	0	0	0	0
ANKZF1	0	0	0.0584252754685701	0	0	0	0
AP1G2	0	0	0.0465174369381611	0	0	0	0
ARG1	0	0	0.0143180268520695	0	0	0	0
ART4	0	0	0.0393408240127381	0	0	0	0
ASH1L	0	0	0.0429892258514612	0	0	0	0
ATP9B	0	0	0.0378739061162152	0	0	0	0
BTF3	0	0	-0.026504372834436	0	0	0	0
C1QBP	0	0	-0.128535498917109	0	0	0	0
CCT8	0	0	-0.188549279725182	0	0	0	0
CENPW	0	0	-0.0601355221071624	0	0	0	0
CEP85L	0	0	0.010209554045	0	0	0	0
CHD2	0	0	0.106596028392671	0	0	0	0
COL4A3	0	0	0.0253609033505464	0	0	0	0
COX6C	0	0	-0.180896365120837	0	0	0	0
EIF3I	0	0	-0.0901162185426323	0	0	0	0
EIF5A	0	0	-0.137582177889845	0	0	0	0
ELMO1	0	0	0.0800560568557128	0	0	0	0
ENO1	0	0	-0.338045184911872	0	0	0	0
HSP90AA1	0	0	-0.0188957164161896	0	0	0	0
IL24	0	0	0.0122360080517812	0	0	0	0
LATS1	0	0	0.00354382028315188	0	0	0	0
LONP2	0	0	0.137290486796863	0	0	0	0
LPAR6	0	0	0.0481323595186798	0	0	0	0
LRCH4	0	0	0.0328905380309012	0	0	0	0
LRRC37A2	0	0	0.00440321854922478	0	0	0	0
LRRC59	0	0	-0.00372362352739941	0	0	0	0
LY9	0	0	0.0342533978849685	0	0	0	0
MRPS15	0	0	-0.0244694703698705	0	0	0	0
PAICS	0	0	-0.168250855305868	0	0.172566151546079	0	0
PCNA	0	0	-0.0432262145305778	0	0	0	0
PILRB	0	0	0.0657849235545386	0	0	0	0
PKN2	0	0	0.00132110207495378	0	0	0	0
PPIA	0	0	-0.028462943146303	0	0	0	0
PRDX5	0	0	-0.038119890824456	0	0	0	0
RBM33	0	0	0.026424353537662	0	0	0	0
RNASEL	0	0	0.0167067307343302	0	0	0	0
RPS3	0	0	-0.176051812399358	0	0	0	0
SENP7	0	0	0.00368080363097779	0	0	0	0
SNRPD1	0	0	-0.0781614685648325	0	0	0	0
SNX29	0	0	0.0743482459644643	0	0	0	0
SPEN	0	0	0.0135196537500339	0	0	0	0
STMN1	0	0	-0.00207272826784903	0	0	0	0
TBCA	0	0	-0.0150936291788088	0	0	0	0
TMEM223	0	0	0.00316423656652618	0	0	0	0
TRIOBP	0	0	0.00791214990174443	0	0	0	0
TSPYL2	0	0	0.165631891901759	0	0	0	0
TSSK4	0	0	0.0728763583045246	0	0	0	0
TUBA1B	0	0	-0.38440238694097	0	0	0	0
TWIST1	0	0	0.0255789560909737	0	0	0	0
VDAC1	0	0	-0.0461127363568266	0	0	0	0
XRCC6	0	0	-0.0330750225874384	0	0	0	0
YWHAE	0	0	-0.0726616069920053	0	0	0	0
ZBED5	0	0	0.0313801721073073	0	0	0	0
ZBTB37	0	0	0.0372449899630339	0	0	0	0
ZMAT1	0	0	0.18852027091239	0	0	0	0
BAZ2A	0	0	0	-0.0854233447866712	0	0	0
CACUL1	0	0	0	-0.22605837698387	0	0	0
CD46	0	0	0	-0.00427954874981024	0	0	0
CLK1	0	0	0	-0.0183002794960087	0	0	0
CRBN	0	0	0	-0.0593491242191289	0	0	0
DDHD1	0	0	0	-0.0688171738721313	0	0	0
DIMT1	0	0	0	-0.0601448853574883	0	0	0
ELF1	0	0	0	-0.0614844263968591	0	0	0
EPS15	0	0	0	-0.0270871458014389	0	0	0
ERGIC2	0	0	0	-0.185578752204645	0	0	0
FUBP1	0	0	0	-0.0413522190747101	0	0	0
FUS	0	0	0	-0.248356179652124	0	0	0
MAX	0	0	0	-0.0679205915093	0	0	0
PARG	0	0	0	-0.0168957647227136	0	0	0
PRRC2C	0	0	0	-0.141530171618142	0	0	0
PTBP3	0	0	0	-0.0535462597348013	0	0	0
PTPRC	0	0	0	-0.184571223390925	0	0	0
RFC1	0	0	0	-0.0591688140897024	0	0	0
RNF38	0	0	0	-0.0771422633406986	0	0	0
RPL30	0	0	0	-0.0190192729444127	0	0	0
RPRD2	0	0	0	-0.0256188065023439	0	0	0
SBNO1	0	0	0	-0.0204136674903711	0	0	0
SERPINA3	0	0	0	0.00223911420349041	0	0	0
SF3A1	0	0	0	-0.0332516281390746	0	0	0
SP3	0	0	0	-0.102840362433642	0	0	0
STK4	0	0	0	-0.223739258485874	0	0	0
SUMO2	0	0	0	-0.304357330746937	0	0	0
THRAP3	0	0	0	-0.070075063046442	0	0	0
TMBIM4	0	0	0	-0.0181995486015682	0	0	0
TRAM1	0	0	0	-0.16223337765501	0	0	0
TRMT1L	0	0	0	-0.0594459167788104	0	0	0
UBE2B	0	0	0	-0.108756402811729	0	0	0
UBE2D2	0	0	0	-0.230788228168605	0	0	0
UBE2G1	0	0	0	-0.0295625598407337	0	0	0
UXT	0	0	0	-0.128527421811619	0	0	0
YTHDC1	0	0	0	-0.042559498375885	0	0	0
ZNF207	0	0	0	-0.00141225417101604	0	0	0
APRT	0	0	0	0	0.01814388534791	0	0
ARHGDIA	0	0	0	0	0.0742058184679191	0	0
CIB1	0	0	0	0	0.0355233582529027	0	0
CLIC1	0	0	0	0	0.126016646298363	0	0
CUEDC2	0	0	0	0	0.00556784961586969	0	0
CXCL10	0	0	0	0	0.035066617527766	0	0
EIF1AX	0	0	0	0	0.102292930190551	0	0
ERH	0	0	0	0	0.0150432909012905	0	0
ESD	0	0	0	0	0.0440743976318974	0	0
FPR1	0	0	0	0	0.115593502550737	0	0
GAPDH	0	0	0	0	0.0990674074818529	0	0
GJD3	0	0	0	0	0.00783754591383334	0	0
GLUL	0	0	0	0	0.308047222083582	0	0
GNB2	0	0	0	0	0.0178371091706339	0	0
GPX1	0	0	0	0	0.154540304442853	0	0
HAMP	0	0	0	0	0.0183724191188572	0	0
HSPD1	0	0	0	0	0.237424247133327	0	0
HSPE1	0	0	0	0	0.106210071599365	0	0
IFI30	0	0	0	0	0.0100480105899953	0	0
IFITM3	0	0	0	0	0.136326963701429	0	0
MRPL43	0	0	0	0	0.00869806296301973	0	0
NUDT21	0	0	0	0	0.0231110089661231	0	0
PKM	0	0	0	0	0.119670762365191	0	0
PNP	0	0	0	0	0.0413205054103828	0	0
POLR2E	0	0	0	0	0.0195761318955817	0	0
PPA1	0	0	0	0	0.132362467808243	0	0
PRKCB	0	0	0	0	-0.0175894103196859	0	0
PRPF4	0	0	0	0	0.014311770292064	0	0
PSMC1	0	0	0	0	0.0654306171676519	0	0
PSME2	0	0	0	0	0.175589757338571	0	0
RBM3	0	0	0	0	0.00626156208571098	0	0
RBP1	0	0	0	0	0.016655793879264	0	0
S100A11	0	0	0	0	0.00440961220158147	0	0
SCAMP2	0	0	0	0	0.0615668926223987	0	0
SERPINB1	0	0	0	0	0.00885194509110876	0	0
TAGLN2	0	0	0	0	0.0134978227127211	0	0
TIMM10	0	0	0	0	0.0613961854730604	0	0
TPM3	0	0	0	0	0.0168007709193523	0	0
TRAPPC12	0	0	0	0	-0.0258348528661184	0	0
TUBA1C	0	0	0	0	0.206521676040952	0	0
ACO1	0	0	0	0	0	0.00271656598309317	0
ALDH1A1	0	0	0	0	0	0.0363637746933701	0
AOAH	0	0	0	0	0	0.286746033505995	0
C2	0	0	0	0	0	0.173013928522519	0
CCR2	0	0	0	0	0	0.00648825889355859	0
CFH	0	0	0	0	0	0.0472028248147232	0
CHI3L1	0	0	0	0	0	0.0166734823237873	0
CLEC7A	0	0	0	0	0	0.00877220237591679	0
CMSS1	0	0	0	0	0	-0.0731927119835924	0
CPD	0	0	0	0	0	0.00436140314212114	0
CSF1	0	0	0	0	0	0.0433400596571026	0
DDX58	0	0	0	0	0	0.0261035428166817	0
DYNLT1	0	0	0	0	0	0.128858085178115	0
EMP3	0	0	0	0	0	0.115451926687828	0
FLNA	0	0	0	0	0	0.156987471937375	0
GALM	0	0	0	0	0	0.0336994538324033	0
GBP5	0	0	0	0	0	0.147701945126522	0
GIMAP4	0	0	0	0	0	0.487954511036343	0
GNS	0	0	0	0	0	0.323545341941554	0
HNMT	0	0	0	0	0	0.00754288372667449	0
IMPDH2	0	0	0	0	0	-0.0712705671236359	0
LAP3	0	0	0	0	0	0.0895862627605231	0
MVB12B	0	0	0	0	0	0.0872184834245686	0
MVP	0	0	0	0	0	0.126881035552914	0
MYOF	0	0	0	0	0	0.0569457793265786	0
P2RX7	0	0	0	0	0	0.0560368546644939	0
PARP9	0	0	0	0	0	0.0895518211982024	0
PAX5	0	0	0	0	0	-0.0323462658582009	0
PRKCH	0	0	0	0	0	0.0984276240288197	0
RAMP3	0	0	0	0	0	0.0216860668117745	0
SAAL1	0	0	0	0	0	-0.0213591321571154	0
SCARB2	0	0	0	0	0	0.164408659356902	0
SDCBP	0	0	0	0	0	0.134303651346501	0
SELPLG	0	0	0	0	0	0.101392972952012	0
SFXN3	0	0	0	0	0	0.0834051524318179	0
SH3BGRL3	0	0	0	0	0	0.0505318137455304	0
SLAMF8	0	0	0	0	0	0.120251894265938	0
SRGN	0	0	0	0	0	0.205075691891048	0
SYTL3	0	0	0	0	0	0.0790334234260516	0
TLN1	0	0	0	0	0	0.0219092722249644	0
TNFRSF1A	0	0	0	0	0	0.238614481396916	-0.0235440024856759
TONSL	0	0	0	0	0	-0.0374777257716597	0
ZFAND5	0	0	0	0	0	0.145432518397489	0
ABHD10	0	0	0	0	0	0	0.0820088089869401
ATIC	0	0	0	0	0	0	0.170520279116502
BLNK	0	0	0	0	0	0	0.212797818628605
BUB3	0	0	0	0	0	0	0.0304918040056947
CARD11	0	0	0	0	0	0	0.196150739313649
CCT7	0	0	0	0	0	0	0.0109668859230678
CD37	0	0	0	0	0	0	0.107843894003797
CDC25A	0	0	0	0	0	0	0.0126144455693385
CDK12	0	0	0	0	0	0	0.142451130981441
CEP97	0	0	0	0	0	0	0.00815344649505721
CHKA	0	0	0	0	0	0	0.0636870926855253
CKAP2	0	0	0	0	0	0	0.115742588908425
COL1A2	0	0	0	0	0	0	-0.380575700746237
DNAJA3	0	0	0	0	0	0	0.0565407059269594
EIF2B5	0	0	0	0	0	0	0.042233690628122
FBXO46	0	0	0	0	0	0	0.0459999253799088
FOXP1	0	0	0	0	0	0	0.203806938411282
GATM	0	0	0	0	0	0	0.0111874310736866
IDS	0	0	0	0	0	0	-0.000177905281117973
IKZF1	0	0	0	0	0	0	0.0593897578918266
ITGB2	0	0	0	0	0	0	-0.085428765883953
KIF14	0	0	0	0	0	0	0.0226102888811973
KLHL14	0	0	0	0	0	0	0.0376951100534338
KLHL23	0	0	0	0	0	0	0.08996706727042
MARS2	0	0	0	0	0	0	0.0138456436930038
MCM4	0	0	0	0	0	0	0.147576288453427
MGAT4A	0	0	0	0	0	0	-0.0620655299682557
MRPS9	0	0	0	0	0	0	0.0175638466617177
MYBL2	0	0	0	0	0	0	0.00571345343348868
NCBP2	0	0	0	0	0	0	0.0228156889437491
NCL	0	0	0	0	0	0	0.08388728629261
NFE2L2	0	0	0	0	0	0	-0.0056512142637764
ORC6	0	0	0	0	0	0	0.0262775682523344
PIF1	0	0	0	0	0	0	0.00420854636175154
PLK1	0	0	0	0	0	0	0.0286812252971668
PMM2	0	0	0	0	0	0	0.0886938984026167
PRDM15	0	0	0	0	0	0	0.00664306671007546
PRMT1	0	0	0	0	0	0	0.194755914611703
PSMD13	0	0	0	0	0	0	0.00594349057760606
RAB32	0	0	0	0	0	0	-0.0274843247166342
RPL32P3	0	0	0	0	0	0	0.0394018236770009
RRP9	0	0	0	0	0	0	0.0706916670063273
SMARCC1	0	0	0	0	0	0	0.0435870698844976
SNRPA	0	0	0	0	0	0	0.0617304158883058
SP140	0	0	0	0	0	0	0.0194917660860587
SYNJ2	0	0	0	0	0	0	-0.0137448967898784
TARDBP	0	0	0	0	0	0	0.0425357327392213
TGDS	0	0	0	0	0	0	0.0767462097985494
TLK1	0	0	0	0	0	0	0.0970890399322746
TRA2B	0	0	0	0	0	0	0.0381716504502028
TRIP13	0	0	0	0	0	0	0.0107586063737529
TRNT1	0	0	0	0	0	0	0.0354592743581221
VASH1	0	0	0	0	0	0	-0.0318463995066819
ZNF101	0	0	0	0	0	0	0.134741554748579
ZNF107	0	0	0	0	0	0	0.102400597275859
ZNF146	0	0	0	0	0	0	0.0362440266953259
ZNF480	0	0	0	0	0	0	0.110162854656296
ZWINT	0	0	0	0	0	0	0.013959990766648
